timestamp_iso,elapsed_s,frame_index,event,raw_image,marked_image,uses_last_available_frame,images_saved
2026-08-25T22:04:37.750-03:00,292.641404,7738,intensity_drop,eventos\evento_0001_intensity_drop_raw.png,eventos\evento_0001_intensity_drop_marcado.png,0,1
2026-08-25T22:04:37.860-03:00,292.753734,7741,signal_lost,eventos\evento_0002_signal_lost_raw.png,eventos\evento_0002_signal_lost_marcado.png,0,1
2026-08-25T22:04:37.893-03:00,292.793040,7742,signal_recovered,eventos\evento_0003_signal_recovered_raw.png,eventos\evento_0003_signal_recovered_marcado.png,0,1
2026-08-25T22:04:44.597-03:00,299.487003,7919,spot_expanded,eventos\evento_0004_spot_expanded_raw.png,eventos\evento_0004_spot_expanded_marcado.png,0,1
2026-08-25T22:04:44.621-03:00,299.523896,7920,signal_lost,eventos\evento_0005_signal_lost_raw.png,eventos\evento_0005_signal_lost_marcado.png,0,1
2026-08-25T22:04:44.669-03:00,299.562668,7921,signal_recovered,eventos\evento_0006_signal_recovered_raw.png,eventos\evento_0006_signal_recovered_marcado.png,0,1
2026-08-25T22:04:59.088-03:00,313.984443,8302,intensity_drop,eventos\evento_0007_intensity_drop_raw.png,eventos\evento_0007_intensity_drop_marcado.png,0,1
2026-08-25T22:15:58.004-03:00,972.881603,25724,intensity_drop,eventos\evento_0008_intensity_drop_raw.png,eventos\evento_0008_intensity_drop_marcado.png,0,1
2026-08-25T22:22:40.085-03:00,1374.944967,36355,intensity_drop,eventos\evento_0009_intensity_drop_raw.png,eventos\evento_0009_intensity_drop_marcado.png,0,1
2026-08-25T22:25:46.988-03:00,1561.850258,41297,intensity_drop,eventos\evento_0010_intensity_drop_raw.png,eventos\evento_0010_intensity_drop_marcado.png,0,1
2026-08-25T22:52:38.267-03:00,3173.092208,83900,signal_lost,eventos\evento_0011_signal_lost_raw.png,eventos\evento_0011_signal_lost_marcado.png,0,1
2026-08-25T22:52:38.315-03:00,3173.131123,83901,signal_recovered,eventos\evento_0012_signal_recovered_raw.png,eventos\evento_0012_signal_recovered_marcado.png,0,1
2026-08-25T23:07:01.964-03:00,4036.747070,106736,intensity_drop,eventos\evento_0013_intensity_drop_raw.png,eventos\evento_0013_intensity_drop_marcado.png,0,1
2026-08-25T23:11:41.147-03:00,4315.932557,114118,signal_lost,eventos\evento_0014_signal_lost_raw.png,eventos\evento_0014_signal_lost_marcado.png,0,1
2026-08-25T23:11:41.195-03:00,4315.971920,114119,signal_recovered,eventos\evento_0015_signal_recovered_raw.png,eventos\evento_0015_signal_recovered_marcado.png,0,1
